relations,['relations']
attempt,['attempt']
development,['development']
deviations,"['deviation', '##s']"
oxidation behavior,"['oxidation', 'behavior']"
composition,['composition']
depth,['depth']
production,['production']
compositional range,"['composition', '##al', 'range']"
service temperature,"['service', 'temperature']"
certain oxidation condition,"['certain', 'oxidation', 'condition']"
poor oxidation behavior,"['poor', 'oxidation', 'behavior']"
major barrier,"['major', 'barrier']"
role,['role']
use,['use']
thickness,['thickness']
demand,['demand']
oxidation resistance,"['oxidation', 'resistance']"
compositions,['compositions']
temperature structural applications,"['temperature', 'structural', 'applications']"
coatings,"['coating', '##s']"
oxidation rate law,"['oxidation', 'rate', 'law']"
limitation,['limitation']
typical temperature limit,"['typical', 'temperature', 'limit']"
careful study,"['careful', 'study']"
alloys,['alloys']
oxidation techniques,"['oxidation', 'techniques']"
literature,['literature']
oxygen ingress,"['oxygen', 'ing', '##ress']"
limited number,"['limited', 'number']"
β-21s,"['β', '-', '21', '##s']"
numerous examples,"['numerous', 'examples']"
